Size;Time[ns]
3403701;3375487
3603801;3752464
3803901;3713615
4004001;3814951
4204101;4202052
4404201;9541693
4604301;4031717
4804401;4393818
5004501;4818753
5204601;5080634
5404701;5698172
5604801;5241531
5804901;5324571
6005001;5857740
2101;3183
212201;69674
422301;505933
632401;708375
842501;887121
1052601;1153394
1262701;1428513
1472801;1580024
1682901;1734406
1893001;1946155
2103101;2464007
2313201;2752671
2523301;3484421
2733401;3764493
2943501;3804668
3153601;3751528
3363701;3847609
3573801;3450359
3783901;3684415
3994001;4206709
4204101;4642725
4414201;5365527
4624301;5161087
4834401;5307924
5044501;5948151
5254601;6701373
5464701;6799739
5674801;6622450
5884901;5836216
6095001;6191940
6305101;6675718
2201;1518
222301;55339
442401;424355
662501;750704
882601;991077
1102701;1263530
1322801;1510213
1542901;1726014
1763001;1908057
1983101;1963774
2203201;2497327
2423301;2443802
2643401;2496756
2863501;2674258
3083601;2988191
3303701;3172249
3523801;3225996
3743901;3367773
3964001;3514717
4184101;3830477
4404201;9139220
4624301;4735167
4844401;4554677
5064501;4608335
5284601;4688874
5504701;5048719
5724801;5124382
5944901;5199969
6165001;5969978
6385101;5491510
6605201;5452875
2301;1437
232401;52211
462501;417222
692601;655849
922701;828068
1152801;1042983
1382901;1272097
1613001;1404238
1843101;1615922
2073201;1801393
2303301;2022664
2533401;2322709
2763501;2513245
2993601;2629173
3223701;2840298
3453801;2916734
3683901;3162150
3914001;3325654
4144101;3436465
4374201;3720258
4604301;3843101
4834401;3994568
5064501;4205830
5294601;4416902
5524701;4671222
5754801;5269993
5984901;5048179
6215001;5270799
6445101;5388902
6675201;6263712
6905301;6288117
2401;1799
242501;63193
482601;485691
722701;769924
962801;931095
1202901;1154203
1443001;1301808
1683101;1494242
1923201;1698344
2163301;1940176
2403401;2044863
2643501;2229263
2883601;2455092
3123701;2635172
3363801;2876867
3603901;3190532
3844001;3377858
4084101;3531526
4324201;3758732
4564301;3972311
4804401;4201032
5044501;4364590
5284601;4564351
5524701;4744705
5764801;4706907
6004901;4978886
6245001;5139658
6485101;5416971
6725201;5532009
6965301;5682825
7205401;5818228
2501;1987
252601;74875
502701;466109
752801;636081
1002901;910319
1253001;1085963
1503101;1302409
1753201;1525746
2003301;1688894
2253401;1905737
2503501;2159468
2753601;2418184
3003701;2493206
3253801;2850172
3503901;2922301
3754001;3126708
4004101;3316025
4254201;3477754
4504301;3627735
4754401;3829667
5004501;4200679
5254601;4350533
5504701;4801969
5754801;5063719
6004901;5373633
6255001;5453708
6505101;5884566
6755201;5879287
7005301;6068778
7255401;6946104
7505501;6935002
2601;1740
262701;277291
522801;563051
782901;733017
1043001;982144
1303101;1235690
1563201;1458483
1823301;1698139
2083401;1886541
2343501;2140304
2603601;2328252
2863701;2762325
3123801;2727038
3383901;3070152
3644001;3327388
3904101;3394468
4164201;3722628
4424301;3902379
4684401;4031621
4944501;4006948
5204601;4277501
5464701;4513818
5724801;4881844
5984901;4882288
6245001;5064916
6505101;5325636
6765201;5546057
7025301;5840685
7285401;6268423
7545501;6314360
7805601;6639001
2701;1671
272801;251955
542901;477768
813001;717570
1083101;918829
1353201;1189558
1623301;1408394
1893401;1629214
2163501;1830164
2433601;2038560
2703701;2225993
2973801;2470215
3243901;2659278
3514001;2993840
3784101;3283027
4054201;3520266
4324301;3724839
4594401;4039413
4864501;4092843
5134601;4381490
5404701;4647037
5674801;4811928
5944901;5052786
6215001;5294557
6485101;5807742
6755201;6190870
7025301;6246547
7295401;6477005
7565501;6633464
7835601;7069699
8105701;7488700
2801;2143
282901;305055
563001;568875
843101;805549
1123201;1126067
1403301;1419676
1683401;1571477
1963501;1913470
2243601;2115382
2523701;2224085
2803801;2541234
3083901;2648179
3364001;2940659
3644101;3226836
3924201;3403108
4204301;3729063
4484401;3880172
4764501;4147485
5044601;4237175
5324701;4698249
5604801;4984845
5884901;5625399
6165001;5633441
6445101;5592874
6725201;5831400
7005301;5987986
7285401;6019077
7565501;6387884
7845601;6558902
8125701;7350868
8405801;7226442
2901;1882
293001;323592
583101;691481
873201;869769
1163301;1126634
1453401;1292257
1743501;1685838
2033601;1830747
2323701;2032953
2613801;2149454
2903901;2613114
3194001;2643904
3484101;3038491
3774201;3291270
4064301;3371123
4354401;3614732
4644501;3959508
4934601;3998259
5224701;4215410
5514801;4628732
5804901;4940554
6095001;5188595
6385101;5207293
6675201;5539297
6965301;5641838
7255401;6067248
7545501;6083712
7835601;6559768
8125701;7658711
8415801;7663258
8705901;7428720
3001;1900
303101;302503
603201;528285
903301;816423
1203401;1133624
1503501;1331108
1803601;1679019
2103701;1786832
2403801;2064988
2703901;2409123
3004001;2521486
3304101;2778025
3604201;2985295
3904301;3301391
4204401;3511881
4504501;3826513
4804601;4314226
5104701;4749447
5404801;5161053
5704901;5397031
6005001;5318406
6305101;5240445
6605201;5436789
6905301;5646038
7205401;6217052
7505501;6628013
7805601;6992002
8105701;7870685
8405801;7890744
8705901;7953768
9006001;8366982
