Size;Time[ns];Method
99365;10800;removeAt
99364;70400;removeAt
99363;156100;removeAt
99362;6500;removeAt
99361;58100;removeAt
99360;248500;removeAt
99359;92300;removeAt
99358;296900;removeAt
99357;90300;removeAt
99356;172000;removeAt
99355;155700;removeAt
99354;318100;removeAt
99353;66800;removeAt
99352;269500;removeAt
99351;326200;removeAt
99350;213700;removeAt
99349;259200;removeAt
99348;78500;removeAt
99347;118400;removeAt
99346;159800;removeAt
99345;262400;removeAt
99344;187700;removeAt
99343;163700;removeAt
99342;84600;removeAt
99341;226300;removeAt
99340;323600;removeAt
99339;86200;removeAt
99338;65700;removeAt
99337;309600;removeAt
99336;124400;removeAt
99335;109800;removeAt
99334;206200;removeAt
99333;300600;removeAt
99332;383100;removeAt
99331;125400;removeAt
99330;61000;removeAt
99329;164500;removeAt
99328;106000;removeAt
99327;329500;removeAt
99326;282400;removeAt
99325;91700;removeAt
99324;151800;removeAt
99323;34000;removeAt
99322;108500;removeAt
99321;110000;removeAt
99320;94400;removeAt
99319;81800;removeAt
99318;122200;removeAt
99317;228900;removeAt
99316;160100;removeAt
99315;54200;removeAt
99314;140800;removeAt
99313;130200;removeAt
99312;29600;removeAt
99311;97800;removeAt
99310;39800;removeAt
99309;56700;removeAt
99308;256200;removeAt
99307;241900;removeAt
99306;96600;removeAt
99305;275000;removeAt
99304;203800;removeAt
99303;276400;removeAt
99302;239000;removeAt
99301;25500;removeAt
99300;314200;removeAt
99299;254000;removeAt
99298;635000;removeAt
99297;149600;removeAt
99296;1352800;removeAt
99295;173100;removeAt
99294;12800;removeAt
99293;101300;removeAt
99292;82400;removeAt
99291;1242600;removeAt
99290;689600;removeAt
99289;794800;removeAt
99288;284900;removeAt
99287;161800;removeAt
99286;229900;removeAt
99285;471500;removeAt
99284;132900;removeAt
99283;184300;removeAt
99282;496400;removeAt
99281;99800;removeAt
99280;278800;removeAt
99279;146000;removeAt
99278;438300;removeAt
99277;195000;removeAt
99276;634600;removeAt
99275;489800;removeAt
99274;288900;removeAt
99273;355300;removeAt
99272;106200;removeAt
99271;105300;removeAt
99270;133100;removeAt
99269;217600;removeAt
99268;60700;removeAt
99267;341700;removeAt
99266;93900;removeAt
99265;216600;removeAt
99264;87200;removeAt
99263;47900;removeAt
99262;123800;removeAt
99261;187100;removeAt
99260;113400;removeAt
99259;362200;removeAt
99258;52400;removeAt
99257;284700;removeAt
99256;141700;removeAt
99255;123600;removeAt
99254;218700;removeAt
99253;3400;removeAt
99252;511200;removeAt
99251;313300;removeAt
99250;383600;removeAt
99249;28500;removeAt
99248;157900;removeAt
99247;179900;removeAt
99246;487600;removeAt
99245;806700;removeAt
99244;180900;removeAt
99243;634400;removeAt
99242;303600;removeAt
99241;325200;removeAt
99240;121200;removeAt
99239;3900;removeAt
99238;973700;removeAt
99237;113600;removeAt
99236;43400;removeAt
99235;35300;removeAt
99234;12900;removeAt
99233;489200;removeAt
99232;247100;removeAt
99231;256600;removeAt
99230;126300;removeAt
99229;273700;removeAt
99228;383100;removeAt
99227;210500;removeAt
99226;178300;removeAt
99225;118700;removeAt
99224;116600;removeAt
99223;141300;removeAt
99222;154000;removeAt
99221;230200;removeAt
99220;54200;removeAt
99219;255400;removeAt
99218;72900;removeAt
99217;391300;removeAt
99216;270700;removeAt
99215;172100;removeAt
99214;117900;removeAt
99213;172200;removeAt
99212;53200;removeAt
99211;266000;removeAt
99210;322000;removeAt
99209;143800;removeAt
99208;130100;removeAt
99207;200100;removeAt
99206;120400;removeAt
99205;7100;removeAt
99204;145100;removeAt
99203;25600;removeAt
99202;101100;removeAt
99201;61100;removeAt
99200;33300;removeAt
99199;122000;removeAt
99198;331600;removeAt
99197;212900;removeAt
99196;249600;removeAt
99195;53000;removeAt
99194;175500;removeAt
99193;250200;removeAt
99192;237700;removeAt
99191;254500;removeAt
99190;39400;removeAt
99189;340600;removeAt
99188;106500;removeAt
99187;332500;removeAt
99186;278200;removeAt
99185;241000;removeAt
99184;323900;removeAt
99183;44000;removeAt
99182;17400;removeAt
99181;180800;removeAt
99180;147600;removeAt
99179;231200;removeAt
99178;150400;removeAt
99177;313000;removeAt
99176;247100;removeAt
99175;120100;removeAt
99174;364000;removeAt
99173;321100;removeAt
99172;415200;removeAt
99171;129200;removeAt
99170;410700;removeAt
99169;268600;removeAt
99168;254800;removeAt
99167;293700;removeAt
99166;237200;removeAt
99165;85300;removeAt
99164;354300;removeAt
99163;174200;removeAt
99162;127400;removeAt
99161;107400;removeAt
99160;135200;removeAt
99159;254700;removeAt
99158;165300;removeAt
99157;229200;removeAt
99156;290700;removeAt
99155;195500;removeAt
99154;131500;removeAt
99153;136700;removeAt
99152;156100;removeAt
99151;133100;removeAt
99150;170300;removeAt
99149;143000;removeAt
99148;170200;removeAt
99147;392300;removeAt
99146;159900;removeAt
99145;289700;removeAt
99144;42300;removeAt
99143;275700;removeAt
99142;85800;removeAt
99141;310400;removeAt
99140;260200;removeAt
99139;369900;removeAt
99138;175100;removeAt
99137;159800;removeAt
99136;113700;removeAt
99135;98800;removeAt
99134;154400;removeAt
99133;133800;removeAt
99132;287300;removeAt
99131;115100;removeAt
99130;290100;removeAt
99129;43500;removeAt
99128;286900;removeAt
99127;117000;removeAt
99126;60600;removeAt
99125;101100;removeAt
99124;107500;removeAt
99123;5200;removeAt
99122;98100;removeAt
99121;311100;removeAt
99120;127300;removeAt
99119;301700;removeAt
99118;317900;removeAt
99117;48800;removeAt
99116;79100;removeAt
99115;127700;removeAt
99114;249300;removeAt
99113;149800;removeAt
99112;175100;removeAt
99111;119800;removeAt
99110;287700;removeAt
99109;244500;removeAt
99108;95900;removeAt
99107;138700;removeAt
99106;96000;removeAt
99105;261700;removeAt
99104;112200;removeAt
99103;262800;removeAt
99102;310800;removeAt
99101;143900;removeAt
99100;404700;removeAt
99099;407000;removeAt
99098;189100;removeAt
99097;479500;removeAt
99096;677600;removeAt
99095;562600;removeAt
99094;105500;removeAt
99093;238000;removeAt
99092;128100;removeAt
99091;439200;removeAt
99090;156700;removeAt
99089;298500;removeAt
99088;51800;removeAt
99087;279900;removeAt
99086;26900;removeAt
99085;58500;removeAt
99084;1400;removeAt
99083;156400;removeAt
99082;39200;removeAt
99081;182400;removeAt
99080;8200;removeAt
99079;227500;removeAt
99078;298000;removeAt
99077;51500;removeAt
99076;66500;removeAt
99075;249200;removeAt
99074;63800;removeAt
99073;362100;removeAt
99072;169800;removeAt
99071;188200;removeAt
