Size;Time[ns];Method
700;300;at
701;300;at
702;400;at
703;300;at
704;400;at
705;400;at
706;400;at
707;300;at
708;400;at
709;400;at
710;300;at
711;400;at
712;400;at
713;400;at
714;300;at
715;300;at
716;400;at
717;400;at
718;300;at
719;400;at
720;300;at
721;400;at
722;300;at
723;400;at
724;300;at
725;300;at
726;300;at
727;400;at
728;400;at
729;400;at
730;400;at
731;400;at
732;300;at
733;300;at
734;300;at
735;400;at
736;300;at
737;400;at
738;400;at
739;400;at
740;400;at
741;300;at
742;400;at
743;300;at
744;400;at
745;400;at
746;400;at
747;400;at
748;300;at
749;300;at
750;300;at
751;300;at
752;300;at
753;300;at
754;400;at
755;400;at
756;400;at
757;300;at
758;400;at
759;300;at
760;300;at
761;300;at
762;400;at
763;400;at
764;300;at
765;400;at
766;300;at
767;300;at
768;300;at
769;300;at
770;300;at
771;400;at
772;300;at
773;400;at
774;300;at
775;400;at
776;400;at
777;400;at
778;400;at
779;400;at
780;300;at
781;300;at
782;300;at
783;400;at
784;400;at
785;400;at
786;400;at
787;400;at
788;300;at
789;300;at
790;400;at
791;300;at
792;400;at
793;400;at
794;400;at
795;300;at
796;300;at
797;400;at
798;400;at
799;400;at
800;400;at
801;400;at
802;300;at
803;400;at
804;300;at
805;400;at
806;400;at
807;400;at
808;300;at
809;300;at
810;300;at
811;300;at
812;300;at
813;400;at
814;400;at
815;400;at
816;400;at
817;400;at
818;300;at
819;400;at
820;300;at
821;400;at
822;400;at
823;300;at
824;300;at
825;300;at
826;400;at
827;400;at
828;300;at
829;400;at
830;300;at
831;300;at
832;300;at
833;400;at
834;400;at
835;300;at
836;300;at
837;400;at
838;300;at
839;300;at
840;300;at
841;400;at
842;300;at
843;300;at
844;400;at
845;400;at
846;300;at
847;400;at
848;400;at
849;400;at
850;400;at
851;400;at
852;400;at
853;300;at
854;400;at
855;300;at
856;300;at
857;400;at
858;400;at
859;400;at
860;400;at
861;400;at
862;300;at
863;400;at
864;400;at
865;400;at
866;400;at
867;300;at
868;300;at
869;400;at
870;400;at
871;300;at
872;400;at
873;400;at
874;300;at
875;300;at
876;400;at
877;300;at
878;400;at
879;300;at
880;400;at
881;300;at
882;400;at
883;300;at
884;300;at
885;400;at
886;400;at
887;300;at
888;300;at
889;300;at
890;400;at
891;300;at
892;400;at
893;300;at
894;300;at
895;300;at
896;300;at
897;300;at
898;400;at
899;300;at
900;400;at
901;300;at
902;300;at
903;400;at
904;300;at
905;400;at
906;300;at
907;300;at
908;400;at
909;300;at
910;300;at
911;300;at
912;400;at
913;400;at
914;300;at
915;400;at
916;400;at
917;400;at
918;300;at
919;300;at
920;400;at
921;300;at
922;500;at
923;400;at
924;400;at
925;400;at
926;300;at
927;400;at
928;400;at
929;400;at
930;400;at
931;400;at
932;400;at
933;400;at
934;400;at
935;400;at
936;400;at
937;400;at
938;400;at
939;400;at
940;400;at
941;400;at
942;300;at
943;300;at
944;300;at
945;400;at
946;300;at
947;300;at
948;400;at
949;300;at
950;400;at
951;400;at
952;400;at
953;300;at
954;400;at
955;300;at
956;300;at
957;300;at
958;300;at
959;400;at
960;300;at
961;400;at
962;300;at
963;300;at
964;400;at
965;300;at
966;300;at
967;400;at
968;400;at
969;400;at
970;400;at
971;300;at
972;300;at
973;300;at
974;300;at
975;300;at
976;300;at
977;400;at
978;400;at
979;300;at
980;400;at
981;300;at
982;300;at
983;400;at
984;400;at
985;400;at
986;400;at
987;300;at
988;300;at
989;300;at
990;300;at
991;400;at
992;300;at
993;300;at
994;300;at
995;300;at
996;300;at
997;300;at
998;300;at
999;300;at
1000;400;at
1001;300;at
1002;300;at
1003;400;at
1004;300;at
1005;400;at
1006;300;at
1007;400;at
1008;300;at
1009;300;at
1010;300;at
1011;300;at
1012;300;at
1013;400;at
1014;300;at
1015;400;at
1016;1700;at
1017;300;at
1018;300;at
1019;300;at
1020;300;at
1021;400;at
1022;400;at
1023;300;at
1024;400;at
1025;300;at
1026;400;at
1027;400;at
1028;300;at
1029;300;at
1030;400;at
1031;300;at
1032;300;at
1033;400;at
1034;300;at
1035;400;at
1036;400;at
1037;300;at
1038;300;at
1039;300;at
1040;300;at
1041;400;at
1042;400;at
1043;300;at
1044;300;at
1045;300;at
1046;300;at
1047;300;at
1048;400;at
1049;400;at
1050;400;at
1051;300;at
1052;300;at
1053;300;at
1054;300;at
1055;300;at
1056;300;at
1057;300;at
1058;400;at
1059;300;at
1060;400;at
1061;300;at
1062;300;at
1063;400;at
1064;400;at
1065;300;at
1066;400;at
1067;300;at
1068;300;at
1069;300;at
1070;300;at
1071;300;at
1072;400;at
1073;300;at
1074;300;at
1075;400;at
1076;300;at
1077;400;at
1078;300;at
1079;300;at
1080;300;at
1081;300;at
1082;400;at
1083;300;at
1084;300;at
1085;300;at
1086;400;at
1087;400;at
1088;300;at
1089;300;at
1090;300;at
1091;300;at
1092;400;at
1093;400;at
1094;300;at
1095;300;at
1096;300;at
1097;400;at
1098;300;at
1099;300;at
1100;300;at
1101;400;at
1102;300;at
1103;400;at
1104;300;at
1105;300;at
1106;300;at
1107;300;at
1108;400;at
1109;300;at
1110;400;at
1111;300;at
1112;300;at
1113;300;at
1114;300;at
1115;400;at
1116;400;at
1117;300;at
1118;400;at
1119;300;at
1120;300;at
1121;300;at
1122;400;at
1123;400;at
1124;400;at
1125;300;at
1126;300;at
1127;300;at
1128;500;at
1129;700;at
1130;600;at
1131;600;at
1132;600;at
1133;600;at
1134;600;at
1135;600;at
1136;600;at
1137;600;at
1138;500;at
1139;600;at
1140;600;at
1141;600;at
1142;600;at
1143;700;at
1144;600;at
1145;600;at
1146;600;at
1147;600;at
1148;700;at
1149;700;at
1150;700;at
1151;600;at
1152;700;at
1153;800;at
1154;800;at
1155;600;at
1156;700;at
1157;600;at
1158;700;at
1159;800;at
1160;500;at
1161;600;at
1162;600;at
1163;600;at
1164;600;at
1165;600;at
1166;400;at
1167;400;at
1168;400;at
1169;400;at
1170;300;at
1171;300;at
1172;300;at
1173;1100;at
1174;400;at
1175;300;at
1176;400;at
1177;400;at
1178;300;at
1179;400;at
1180;400;at
1181;300;at
1182;400;at
1183;400;at
1184;300;at
1185;300;at
1186;300;at
1187;300;at
1188;400;at
1189;400;at
1190;300;at
1191;400;at
1192;400;at
1193;300;at
1194;400;at
1195;300;at
1196;300;at
1197;300;at
1198;400;at
1199;400;at
1200;400;at
1201;300;at
1202;400;at
1203;400;at
1204;300;at
1205;300;at
1206;400;at
1207;300;at
1208;300;at
1209;300;at
1210;300;at
1211;300;at
1212;300;at
1213;400;at
1214;300;at
1215;300;at
1216;400;at
1217;400;at
1218;300;at
1219;400;at
1220;400;at
1221;400;at
1222;400;at
1223;400;at
1224;400;at
1225;300;at
1226;400;at
1227;400;at
1228;400;at
1229;400;at
1230;500;at
1231;400;at
1232;300;at
1233;400;at
1234;300;at
1235;400;at
1236;400;at
1237;300;at
1238;400;at
1239;400;at
1240;400;at
1241;300;at
1242;400;at
1243;400;at
1244;300;at
1245;400;at
1246;400;at
1247;400;at
1248;400;at
1249;400;at
1250;400;at
1251;400;at
1252;400;at
1253;300;at
1254;300;at
1255;300;at
1256;400;at
1257;400;at
1258;300;at
1259;300;at
1260;400;at
1261;400;at
1262;300;at
1263;300;at
1264;400;at
1265;400;at
1266;400;at
1267;300;at
1268;400;at
1269;400;at
1270;400;at
1271;400;at
1272;400;at
1273;300;at
1274;400;at
1275;400;at
1276;400;at
1277;400;at
1278;300;at
1279;300;at
1280;300;at
1281;400;at
1282;300;at
1283;400;at
1284;400;at
1285;300;at
1286;300;at
1287;300;at
1288;400;at
1289;400;at
1290;300;at
1291;300;at
1292;400;at
1293;300;at
1294;300;at
1295;300;at
1296;300;at
1297;300;at
1298;300;at
1299;300;at
1300;300;at
1301;400;at
1302;300;at
1303;400;at
1304;300;at
1305;300;at
1306;400;at
1307;300;at
1308;300;at
1309;300;at
1310;300;at
1311;400;at
1312;300;at
1313;300;at
1314;300;at
1315;300;at
1316;400;at
1317;400;at
1318;300;at
1319;400;at
1320;300;at
1321;400;at
1322;300;at
1323;300;at
1324;300;at
1325;400;at
1326;300;at
1327;300;at
1328;300;at
1329;300;at
1330;300;at
1331;400;at
1332;300;at
1333;400;at
1334;400;at
1335;300;at
1336;300;at
1337;300;at
1338;300;at
1339;300;at
1340;300;at
1341;300;at
1342;400;at
1343;300;at
1344;300;at
1345;400;at
1346;300;at
1347;300;at
1348;300;at
1349;300;at
1350;400;at
1351;400;at
1352;400;at
1353;300;at
1354;400;at
1355;300;at
1356;400;at
1357;400;at
1358;300;at
1359;300;at
1360;300;at
1361;300;at
1362;300;at
1363;300;at
1364;300;at
1365;300;at
1366;300;at
1367;300;at
1368;300;at
1369;400;at
1370;300;at
1371;300;at
1372;300;at
1373;400;at
1374;300;at
1375;300;at
1376;300;at
1377;300;at
1378;300;at
1379;300;at
1380;400;at
1381;300;at
1382;300;at
1383;300;at
1384;300;at
1385;300;at
1386;400;at
1387;300;at
1388;300;at
1389;300;at
1390;300;at
1391;300;at
1392;300;at
1393;300;at
1394;300;at
1395;300;at
1396;300;at
1397;400;at
1398;300;at
1399;300;at
1400;300;at
1401;300;at
1402;300;at
1403;300;at
1404;300;at
1405;300;at
1406;300;at
1407;300;at
1408;300;at
1409;300;at
1410;300;at
1411;300;at
1412;300;at
1413;300;at
1414;300;at
1415;300;at
1416;300;at
1417;300;at
1418;300;at
1419;300;at
1420;300;at
1421;300;at
1422;300;at
1423;400;at
1424;300;at
1425;300;at
1426;300;at
1427;300;at
1428;300;at
1429;300;at
1430;400;at
1431;300;at
1432;300;at
1433;400;at
1434;300;at
1435;400;at
1436;300;at
1437;300;at
1438;300;at
1439;400;at
1440;300;at
1441;300;at
1442;300;at
1443;300;at
1444;300;at
1445;300;at
1446;300;at
1447;300;at
1448;300;at
1449;300;at
1450;300;at
1451;400;at
1452;300;at
1453;400;at
1454;300;at
1455;300;at
1456;300;at
1457;400;at
1458;300;at
1459;300;at
1460;400;at
1461;300;at
1462;400;at
1463;300;at
1464;300;at
1465;300;at
1466;300;at
1467;300;at
1468;300;at
1469;300;at
1470;300;at
1471;300;at
1472;400;at
1473;300;at
1474;300;at
1475;300;at
1476;300;at
1477;300;at
1478;300;at
1479;300;at
1480;300;at
1481;300;at
1482;300;at
1483;300;at
1484;300;at
1485;300;at
1486;400;at
1487;400;at
1488;300;at
1489;300;at
1490;300;at
1491;300;at
1492;300;at
1493;300;at
1494;300;at
1495;300;at
1496;300;at
1497;300;at
1498;300;at
1499;300;at
1500;300;at
1501;300;at
1502;300;at
1503;300;at
1504;400;at
1505;400;at
1506;400;at
1507;300;at
1508;300;at
1509;400;at
1510;300;at
1511;300;at
1512;400;at
1513;400;at
1514;400;at
1515;300;at
1516;400;at
1517;300;at
1518;300;at
1519;400;at
1520;300;at
1521;300;at
1522;300;at
1523;300;at
1524;300;at
1525;400;at
1526;400;at
1527;300;at
1528;400;at
1529;300;at
1530;300;at
1531;300;at
1532;300;at
1533;400;at
1534;400;at
1535;300;at
1536;400;at
1537;400;at
1538;300;at
1539;300;at
1540;300;at
1541;300;at
1542;300;at
1543;300;at
1544;400;at
1545;300;at
1546;300;at
1547;300;at
1548;300;at
1549;400;at
1550;300;at
1551;300;at
1552;300;at
1553;400;at
1554;300;at
1555;300;at
1556;300;at
1557;400;at
1558;300;at
1559;300;at
1560;300;at
1561;300;at
1562;400;at
1563;300;at
1564;300;at
1565;300;at
1566;300;at
1567;300;at
1568;300;at
1569;400;at
1570;300;at
1571;400;at
1572;400;at
1573;300;at
1574;300;at
1575;400;at
1576;300;at
1577;400;at
1578;300;at
1579;400;at
1580;400;at
1581;400;at
1582;300;at
1583;300;at
1584;400;at
1585;300;at
1586;300;at
1587;300;at
1588;300;at
1589;300;at
1590;400;at
1591;300;at
1592;300;at
1593;300;at
1594;300;at
1595;300;at
1596;300;at
1597;300;at
1598;300;at
1599;300;at
1600;300;at
1601;300;at
1602;300;at
1603;300;at
1604;300;at
1605;300;at
1606;300;at
1607;400;at
1608;300;at
1609;400;at
1610;300;at
1611;400;at
1612;300;at
1613;300;at
1614;400;at
1615;400;at
1616;400;at
1617;300;at
1618;300;at
1619;600;at
1620;300;at
1621;400;at
1622;400;at
1623;300;at
1624;300;at
1625;400;at
1626;300;at
1627;300;at
1628;400;at
1629;300;at
1630;300;at
1631;400;at
1632;300;at
1633;300;at
1634;300;at
1635;400;at
1636;400;at
1637;400;at
1638;400;at
1639;400;at
1640;300;at
1641;300;at
1642;300;at
1643;300;at
1644;300;at
1645;300;at
1646;400;at
1647;300;at
1648;300;at
1649;300;at
1650;300;at
1651;300;at
1652;300;at
1653;400;at
1654;400;at
1655;300;at
1656;300;at
1657;400;at
1658;300;at
1659;400;at
1660;300;at
1661;400;at
1662;400;at
1663;300;at
1664;300;at
1665;400;at
1666;400;at
1667;400;at
1668;300;at
1669;300;at
1670;300;at
1671;300;at
1672;300;at
1673;300;at
1674;400;at
1675;400;at
1676;300;at
1677;400;at
1678;300;at
1679;300;at
1680;300;at
1681;400;at
1682;300;at
1683;300;at
1684;400;at
1685;400;at
1686;300;at
1687;300;at
1688;400;at
1689;300;at
1690;400;at
1691;300;at
1692;300;at
1693;400;at
1694;400;at
1695;300;at
1696;400;at
1697;300;at
1698;400;at
1699;300;at
1700;300;at
1701;300;at
1702;300;at
1703;300;at
1704;300;at
1705;300;at
1706;400;at
1707;400;at
1708;300;at
1709;300;at
1710;400;at
1711;300;at
1712;400;at
1713;300;at
1714;300;at
1715;300;at
1716;300;at
1717;300;at
1718;400;at
1719;400;at
1720;400;at
1721;300;at
1722;300;at
1723;300;at
1724;300;at
1725;300;at
1726;300;at
1727;400;at
1728;400;at
1729;300;at
1730;300;at
1731;300;at
1732;300;at
1733;400;at
1734;300;at
1735;300;at
1736;300;at
1737;400;at
1738;400;at
1739;300;at
1740;400;at
1741;400;at
1742;300;at
1743;300;at
1744;300;at
1745;400;at
1746;300;at
1747;300;at
1748;300;at
1749;300;at
1750;300;at
1751;400;at
1752;300;at
1753;300;at
1754;300;at
1755;300;at
1756;300;at
1757;300;at
1758;300;at
1759;300;at
1760;400;at
1761;300;at
1762;300;at
1763;300;at
1764;300;at
1765;300;at
1766;300;at
1767;400;at
1768;300;at
1769;300;at
1770;400;at
1771;400;at
1772;300;at
1773;300;at
1774;300;at
1775;300;at
1776;300;at
1777;300;at
1778;300;at
1779;300;at
1780;400;at
1781;300;at
1782;300;at
1783;300;at
1784;300;at
1785;400;at
1786;300;at
1787;400;at
1788;400;at
1789;300;at
1790;300;at
1791;400;at
1792;400;at
1793;300;at
1794;300;at
1795;300;at
1796;300;at
1797;300;at
1798;300;at
1799;300;at
1800;400;at
1801;300;at
1802;300;at
1803;400;at
1804;400;at
1805;300;at
1806;300;at
1807;400;at
1808;400;at
1809;300;at
1810;300;at
1811;300;at
1812;300;at
1813;400;at
1814;400;at
1815;300;at
1816;300;at
1817;300;at
1818;400;at
1819;300;at
1820;300;at
1821;300;at
1822;300;at
1823;400;at
1824;300;at
1825;300;at
1826;400;at
1827;400;at
1828;400;at
1829;300;at
1830;400;at
1831;300;at
1832;300;at
1833;300;at
1834;300;at
1835;300;at
1836;300;at
1837;300;at
1838;300;at
1839;300;at
1840;400;at
1841;400;at
1842;400;at
1843;300;at
1844;300;at
1845;300;at
1846;400;at
1847;300;at
1848;300;at
1849;300;at
1850;400;at
1851;400;at
1852;300;at
1853;400;at
1854;300;at
1855;400;at
1856;300;at
1857;300;at
1858;400;at
1859;300;at
1860;300;at
1861;300;at
1862;300;at
1863;400;at
1864;400;at
1865;400;at
1866;300;at
1867;300;at
1868;300;at
1869;300;at
1870;400;at
1871;300;at
1872;400;at
1873;300;at
1874;300;at
1875;400;at
1876;400;at
1877;300;at
1878;300;at
1879;400;at
1880;300;at
1881;300;at
1882;300;at
1883;300;at
1884;300;at
1885;300;at
1886;300;at
1887;300;at
1888;300;at
1889;400;at
1890;400;at
1891;300;at
1892;300;at
1893;400;at
1894;300;at
1895;400;at
1896;400;at
1897;400;at
1898;400;at
1899;300;at
1900;300;at
1901;400;at
1902;300;at
1903;400;at
1904;400;at
1905;400;at
1906;400;at
1907;300;at
1908;400;at
1909;300;at
1910;300;at
1911;400;at
1912;400;at
1913;300;at
1914;300;at
1915;300;at
1916;300;at
1917;300;at
1918;300;at
1919;400;at
1920;400;at
1921;400;at
1922;300;at
1923;400;at
1924;500;at
1925;300;at
1926;300;at
1927;400;at
1928;500;at
1929;500;at
1930;400;at
1931;400;at
1932;300;at
1933;400;at
1934;400;at
1935;700;at
1936;400;at
1937;13700;at
1938;300;at
1939;300;at
1940;400;at
1941;300;at
1942;300;at
1943;300;at
