Size;Time[ns];Method
1117;4900;at
1118;900;at
1119;5500;at
1120;3300;at
1121;4900;at
1122;800;at
1123;1600;at
1124;4900;at
1125;2900;at
1126;3800;at
1127;600;at
1128;2800;at
1129;3500;at
1130;5600;at
1131;3300;at
1132;5100;at
1133;900;at
1134;2200;at
1135;2200;at
1136;3500;at
1137;5900;at
1138;3000;at
1139;3800;at
1140;6100;at
1141;2200;at
1142;4600;at
1143;3700;at
1144;4500;at
1145;5700;at
1146;7900;at
1147;6100;at
1148;4500;at
1149;6000;at
1150;400;at
1151;1300;at
1152;600;at
1153;2000;at
1154;4100;at
1155;5700;at
1156;1300;at
1157;2900;at
1158;3000;at
1159;1800;at
1160;3500;at
1161;5700;at
1162;500;at
1163;5700;at
1164;5000;at
1165;4200;at
1166;3700;at
1167;4200;at
1168;700;at
1169;5900;at
1170;1600;at
1171;2000;at
1172;1900;at
1173;5500;at
1174;3400;at
1175;5000;at
1176;5100;at
1177;5700;at
1178;7200;at
1179;4500;at
1180;3200;at
1181;2200;at
1182;7000;at
1183;1000;at
1184;500;at
1185;4900;at
1186;6400;at
1187;3600;at
1188;2000;at
1189;14700;at
1190;1100;at
1191;8300;at
1192;1600;at
1193;5900;at
1194;8400;at
1195;1300;at
1196;3800;at
1197;2000;at
1198;11700;at
1199;6000;at
1200;2200;at
1201;8300;at
1202;4900;at
1203;1500;at
1204;3600;at
1205;6800;at
1206;1300;at
1207;3400;at
1208;4400;at
1209;2100;at
1210;2100;at
1211;2800;at
1212;1000;at
1213;600;at
1214;3600;at
1215;26000;at
1216;8800;at
1217;6900;at
1218;20200;at
1219;2700;at
1220;71600;at
1221;6500;at
1222;19900;at
1223;1800;at
1224;8300;at
1225;2900;at
1226;5200;at
1227;1700;at
1228;2700;at
1229;3000;at
1230;2100;at
1231;3600;at
1232;4600;at
1233;1900;at
1234;2800;at
1235;26500;at
1236;3400;at
1237;17900;at
1238;3000;at
1239;5300;at
1240;4900;at
1241;5600;at
1242;2200;at
1243;900;at
1244;2000;at
1245;5400;at
1246;4200;at
1247;2000;at
1248;1700;at
1249;500;at
1250;700;at
1251;3000;at
1252;1000;at
1253;6500;at
1254;2900;at
1255;3100;at
1256;5200;at
1257;5800;at
1258;3300;at
1259;1300;at
1260;6300;at
1261;1900;at
1262;3000;at
1263;5300;at
1264;1700;at
1265;4600;at
1266;17200;at
1267;2800;at
1268;11400;at
1269;3700;at
1270;7100;at
1271;1700;at
1272;4300;at
1273;4700;at
1274;900;at
1275;2700;at
1276;2200;at
1277;1600;at
1278;14100;at
1279;2600;at
1280;4600;at
1281;6000;at
1282;6000;at
1283;7600;at
1284;1300;at
1285;3600;at
1286;13600;at
1287;1800;at
1288;6900;at
1289;4700;at
1290;1600;at
1291;6600;at
1292;6100;at
1293;1400;at
1294;6200;at
1295;3400;at
1296;2400;at
1297;5600;at
1298;4400;at
1299;1900;at
1300;7700;at
1301;4700;at
1302;5200;at
1303;6200;at
1304;1400;at
1305;3400;at
1306;2600;at
1307;800;at
1308;4300;at
1309;5500;at
1310;6100;at
1311;4800;at
1312;16300;at
1313;5500;at
1314;5700;at
1315;1400;at
1316;2900;at
1317;6100;at
1318;2900;at
1319;4500;at
1320;1900;at
1321;4800;at
1322;6900;at
1323;800;at
1324;3600;at
1325;5400;at
1326;2700;at
1327;8600;at
1328;2600;at
1329;600;at
1330;8800;at
1331;3800;at
1332;2400;at
1333;3000;at
1334;9900;at
1335;5500;at
1336;5900;at
1337;2900;at
1338;2600;at
1339;5300;at
1340;500;at
1341;5300;at
1342;9300;at
1343;1200;at
1344;9800;at
1345;1300;at
1346;6900;at
1347;1100;at
1348;3300;at
1349;1400;at
1350;5700;at
1351;7800;at
1352;2100;at
1353;5700;at
1354;4900;at
1355;4400;at
1356;5000;at
1357;4600;at
1358;11200;at
1359;5000;at
1360;1800;at
1361;2900;at
1362;2600;at
1363;4600;at
1364;9100;at
1365;3100;at
1366;3400;at
1367;4700;at
1368;10900;at
1369;1400;at
1370;3200;at
1371;9100;at
1372;3800;at
1373;2900;at
1374;4100;at
1375;3200;at
1376;1900;at
1377;3900;at
1378;1200;at
1379;600;at
1380;5900;at
1381;5000;at
1382;1700;at
1383;600;at
1384;1600;at
1385;7600;at
1386;5600;at
1387;5200;at
1388;6900;at
1389;5500;at
1390;3100;at
1391;3600;at
1392;4000;at
1393;6000;at
1394;6200;at
1395;5400;at
1396;4100;at
1397;1300;at
1398;4700;at
1399;3800;at
1400;700;at
1401;6400;at
1402;2300;at
1403;4700;at
1404;3500;at
1405;7400;at
1406;6100;at
1407;3500;at
1408;7300;at
1409;3900;at
1410;2700;at
1411;6300;at
1412;2100;at
1413;6300;at
1414;4800;at
1415;10800;at
1416;6200;at
1417;7700;at
1418;4700;at
1419;5800;at
1420;600;at
1421;3300;at
1422;4400;at
1423;2900;at
1424;7100;at
1425;6100;at
1426;600;at
1427;8200;at
1428;6600;at
1429;4900;at
1430;1500;at
1431;1400;at
1432;5000;at
1433;6500;at
1434;7500;at
1435;5100;at
1436;6200;at
1437;6800;at
1438;4700;at
1439;3800;at
1440;1800;at
1441;6000;at
1442;500;at
1443;1100;at
1444;5600;at
1445;6700;at
1446;3400;at
1447;10200;at
1448;4700;at
1449;6000;at
