Size;Time[ns];Method
699;1900;insert
700;3600;insert
701;4200;insert
702;3700;insert
703;3800;insert
704;1000;insert
705;1700;insert
706;4200;insert
707;2100;insert
708;2000;insert
709;2900;insert
710;3300;insert
711;4300;insert
712;2700;insert
713;4100;insert
714;2200;insert
715;1300;insert
716;2200;insert
717;3500;insert
718;1400;insert
719;4500;insert
720;1900;insert
721;1000;insert
722;2400;insert
723;1500;insert
724;3500;insert
725;3800;insert
726;2200;insert
727;900;insert
728;4300;insert
729;3800;insert
730;3200;insert
731;3700;insert
732;3500;insert
733;1100;insert
734;1000;insert
735;4400;insert
736;2800;insert
737;1800;insert
738;4900;insert
739;2000;insert
740;2000;insert
741;3100;insert
742;4000;insert
743;3300;insert
744;3200;insert
745;1000;insert
746;4800;insert
747;2700;insert
748;2500;insert
749;3700;insert
750;4000;insert
751;3500;insert
752;4500;insert
753;3800;insert
754;1500;insert
755;2300;insert
756;3100;insert
757;3800;insert
758;1300;insert
759;3800;insert
760;900;insert
761;1400;insert
762;1500;insert
763;1600;insert
764;2500;insert
765;3600;insert
766;4600;insert
767;1800;insert
768;2300;insert
769;3600;insert
770;4300;insert
771;3100;insert
772;3600;insert
773;2600;insert
774;1800;insert
775;4400;insert
776;4700;insert
777;3700;insert
778;4000;insert
779;1300;insert
780;4500;insert
781;2300;insert
782;2800;insert
783;4000;insert
784;3600;insert
785;1300;insert
786;4300;insert
787;5200;insert
788;1100;insert
789;4500;insert
790;700;insert
791;17100;insert
792;3700;insert
793;4200;insert
794;3300;insert
795;8000;insert
796;5400;insert
797;5200;insert
798;2700;insert
799;4700;insert
800;8200;insert
801;5500;insert
802;2900;insert
803;1600;insert
804;1400;insert
805;1500;insert
806;6100;insert
807;5300;insert
808;1600;insert
809;5200;insert
810;6900;insert
811;1600;insert
812;1700;insert
813;2300;insert
814;4000;insert
815;1600;insert
816;4500;insert
817;2700;insert
818;2800;insert
819;6900;insert
820;5300;insert
821;5000;insert
822;6700;insert
823;7900;insert
824;4600;insert
825;5100;insert
826;7300;insert
827;1500;insert
828;6500;insert
829;3400;insert
830;3300;insert
831;2000;insert
832;7600;insert
833;3800;insert
834;2100;insert
835;2400;insert
836;6700;insert
837;3800;insert
838;6300;insert
839;10300;insert
840;4900;insert
841;10200;insert
842;2900;insert
843;9800;insert
844;9100;insert
845;3700;insert
846;1500;insert
847;4300;insert
848;1500;insert
849;4100;insert
850;4500;insert
851;1700;insert
852;2500;insert
853;4500;insert
854;3900;insert
855;1600;insert
856;3700;insert
857;3400;insert
858;8300;insert
859;3700;insert
860;2300;insert
861;3800;insert
862;4600;insert
863;3600;insert
864;5500;insert
865;4800;insert
866;5600;insert
867;1800;insert
868;3800;insert
869;3600;insert
870;6900;insert
871;3600;insert
872;3400;insert
873;2600;insert
874;2900;insert
875;3200;insert
876;3600;insert
877;2700;insert
878;7600;insert
879;5700;insert
880;4000;insert
881;1600;insert
882;5200;insert
883;2600;insert
884;4100;insert
885;3300;insert
886;2400;insert
887;2300;insert
888;5100;insert
889;2600;insert
890;4600;insert
891;3400;insert
892;5200;insert
893;2600;insert
894;4600;insert
895;1500;insert
896;3000;insert
897;5900;insert
898;2600;insert
899;4100;insert
900;5200;insert
901;5000;insert
902;3000;insert
903;5800;insert
904;3500;insert
905;5100;insert
906;2300;insert
907;3000;insert
908;4300;insert
909;4400;insert
910;5300;insert
911;3100;insert
912;3700;insert
913;1900;insert
914;5100;insert
915;3600;insert
916;2000;insert
917;2700;insert
918;1300;insert
919;4800;insert
920;2600;insert
921;3000;insert
922;4100;insert
923;5600;insert
